image,latency_ms,fps
1785760861998000000.png,656.684160232544,1.5228020722258346
1786009779825000000.png,270.64037322998047,3.694940219248944
1786019291626000000.png,271.79527282714844,3.6792398543147673
1785504402998000000.png,269.787073135376,3.7066268163938743
1785921180431000000.png,269.3336009979248,3.712867597265389
1785499067683000000.png,269.4244384765625,3.711615789771762
1785500268162000000.png,269.9322700500488,3.704633017069754
1785994818823000000.png,269.6561813354492,3.708426022528337
1785747705042000000.png,270.98751068115234,3.6902069674222506
1786012349838000000.png,269.2854404449463,3.713531627806085
1785934304982000000.png,269.1004276275635,3.716084767371703
1785932761648000000.png,270.3511714935303,3.69889279367865
1785757203190000000.png,270.4184055328369,3.6979731391788344
1786016058658000000.png,269.730806350708,3.707400031644087
1785491867133000000.png,269.8800563812256,3.705349752066992
1785492214188000000.png,271.6090679168701,3.6817622020854786
1786010232971000000.png,270.69997787475586,3.6941266410545026
1785909799393000000.png,269.9592113494873,3.7042633033380996
1785503821382000000.png,269.67763900756836,3.708130951012722
1785746708914000000.png,269.42896842956543,3.711553385772702
1785494217230000000.png,270.1141834259033,3.7021380636767494
1785498119470000000.png,269.2735195159912,3.7136960284749185
1785998528584000000.png,269.53625679016113,3.7100760094717726
1785495953462000000.png,269.20580863952637,3.714630100493211
1785493479896000000.png,269.146203994751,3.7154527359393947
1785997729790000000.png,269.37007904052734,3.712364801472801
1785500691214000000.png,271.1329460144043,3.6882275455631044
1785748270620000000.png,269.5446014404297,3.7099611517205755
1786014967986000000.png,273.95081520080566,3.6502902875722456
1785759023628000000.png,271.4390754699707,3.684067956201943
1786004773635000000.png,270.34544944763184,3.69897108326844
1785996279555000000.png,268.3560848236084,3.726392120593443
1785495480922000000.png,268.660306930542,3.722172476556184
1785737205164000000.png,268.7878608703613,3.72040611046162
1786015438151000000.png,268.51892471313477,3.7241322974472806
1785496316912000000.png,268.1260108947754,3.7295896681670495
1786006807067000000.png,278.4898281097412,3.5907954225385272
1786016580238000000.png,269.9923515319824,3.703808623932605
1785752766812000000.png,270.81966400146484,3.692494057575491
1786005080969000000.png,270.60508728027344,3.695422026431718
1785995873790000000.png,269.5181369781494,3.71032543936393
1785501853550000000.png,269.26112174987793,3.7138670206125046
1786011767429000000.png,269.2408561706543,3.714146560899973
1786000418492000000.png,268.74518394470215,3.7209969135884613
1785491763575000000.png,269.3467140197754,3.7126868380008533
1785912882940000000.png,269.1192626953125,3.7158246867381073
1785927717126000000.png,269.46330070495605,3.711080497358458
1785930702159000000.png,269.8781490325928,3.7053759394178725
1785742064033000000.png,269.8817253112793,3.7053268384386104
1785929945839000000.png,271.0542678833008,3.6892981166064436
1785492265113000000.png,271.5303897857666,3.682829022522985
1786019647487000000.png,270.7796096801758,3.693040259497839
1785491306200000000.png,270.2341079711914,3.700495128122783
1785738476710000000.png,269.6371078491211,3.7086883477461225
1785923018840000000.png,271.32463455200195,3.685621844294203
1785914357826000000.png,269.6852684020996,3.7080260480116554
1785749536100000000.png,269.95253562927246,3.7043549069429984
1785920353799000000.png,270.0533866882324,3.70297152079217
1785918856591000000.png,269.62924003601074,3.7087965677106958
1785754860525000000.png,268.4652805328369,3.7248764459048425
1785745963187000000.png,269.15764808654785,3.715294761672346
1785927928502000000.png,269.075870513916,3.7164239145266733
1786008382509000000.png,269.7758674621582,3.7067807784559204
1785995512536000000.png,271.24667167663574,3.686681181445577
1786014201775000000.png,270.71213722229004,3.69396071510037
1785491709247000000.png,268.89491081237793,3.7189249769689856
1786020384535000000.png,270.21145820617676,3.700805312397152
1785492715055000000.png,269.09732818603516,3.7161275689391817
1785492518885000000.png,270.8554267883301,3.692006513797808
1786012550561000000.png,273.4847068786621,3.6565115885754937
1786006481756000000.png,270.327091217041,3.6992222847436222
1786007917022000000.png,269.21820640563965,3.714459038083287
1785496772056000000.png,268.79239082336426,3.7203434105288555
1785755864101000000.png,268.5837745666504,3.7232331015284212
1785926669793000000.png,269.58179473876953,3.70944930079207
1785921847073000000.png,271.05212211608887,3.689327322704783
1785741992319000000.png,269.6957588195801,3.7078818160762244
1785924277159000000.png,270.8621025085449,3.6919155198850784
1786015775390000000.png,269.8321342468262,3.706007821460065
1786018267036000000.png,269.64497566223145,3.7085801340969238
1786007741599000000.png,269.5162296295166,3.710351697093061
1786010559734000000.png,270.2643871307373,3.700080541933412
1786013820569000000.png,269.98043060302734,3.7039721648209967
1785918294342000000.png,270.643949508667,3.694891394451722
1785491893712000000.png,269.9301242828369,3.7046624664692285
1786018662459000000.png,269.3049907684326,3.713262042216924
1785754194757000000.png,269.8051929473877,3.706377883523543
1785909033885000000.png,269.481897354126,3.710824399777402
1786001893341000000.png,269.6347236633301,3.708721141007843
1786009405618000000.png,271.6524600982666,3.6811740988403474
1785741039113000000.png,270.21026611328125,3.7008216393257474
1785997279994000000.png,270.01023292541504,3.7035633396762044
1785923531070000000.png,270.80750465393066,3.6926598517936804
1785925487367000000.png,270.9085941314697,3.691281936647267
1785995000420000000.png,269.7179317474365,3.707576999131072
1786005592616000000.png,268.9948081970215,3.7175438689789284
1786000890574000000.png,269.76895332336426,3.706875782704798
1785920783952000000.png,271.13819122314453,3.6881561962512617
1785999946148000000.png,269.91820335388184,3.7048260827704507
1786014469769000000.png,269.7253227233887,3.7074754046194234
